ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	70	0	0	0.000000	2.385714	2.385714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
2	106	1	0	0.000000	1.726415	1.726415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
3	5	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
4	2	1	1	0.000000	3.500000	3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
5	158	0	0	0.000000	2.012658	2.012658	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
6	72	0	0	0.000000	1.666667	1.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
7	72	0	0	0.000000	1.638889	1.638889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
8	72	0	0	0.000000	1.486111	1.486111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
9	72	0	0	0.000000	1.875000	1.875000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
10	70	0	0	0.000000	1.328571	1.328571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
11	830	0	0	0.000000	3.032530	3.032530	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
12	68	0	0	0.000000	1.794118	1.794118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
13	64	0	0	0.000000	1.250000	1.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
14	70	0	0	0.000000	1.585714	1.585714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
15	138	0	0	0.000000	1.014493	1.014493	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
16	131	0	0	0.000000	1.083969	1.083969	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
17	86	0	0	0.000000	1.744186	1.744186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
18	98	0	0	0.000000	2.142857	2.142857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
19	107	1	0	0.000000	1.345794	1.345794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
20	72	0	0	0.000000	1.694444	1.694444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
21	134	0	0	0.000000	1.059701	1.059701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
22	130	0	0	0.000000	1.107692	1.107692	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
23	76	0	0	0.000000	1.842105	1.842105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
24	101	0	0	0.000000	1.405941	1.405941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
25	136	0	0	0.000000	1.544118	1.544118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
26	112	0	0	0.000000	1.250000	1.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
27	107	0	0	0.000000	1.289720	1.289720	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
28	70	0	0	0.000000	1.657143	1.657143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
